documento;tipo_documento;numero_documento;data_documento;pagina;codigo_inep;nome_escola_original;nome_escola_normalizado;municipio_original;evento;status_evento;ano_referencia;observacao;fonte
edital1002023_gsseed_protocolo203330650_ccm_resultado_analise_recursos_fase_investigacao_vida.pdf;Processo Seletivo de Pessoal / Gestão CCM;EDITAL N.º 100/2023 – GS/SEED;2023-11-10;1;;Instituições de Ensino Cívico-Militares (Vagas de Diretores / Monitores);INSTITUICOES DE ENSINO CIVICO-MILITARES (VAGAS DE DIRETORES / MONITORES);Estado do Paraná;processo_seletivo_pessoal;instituicao_com_vaga;2024.0;Edital referente a credenciamento, homologação de saúde ou seleção de militares/diretores. Documento: edital1002023_gsseed_protocolo203330650_ccm_resultado_analise_recursos_fase_investigacao_vida.;Cabeçalho do documento edital1002023_gsseed_protocolo203330650_ccm_resultado_analise_recursos_fase_investigacao_vida
edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;Edital de Convocação para Consulta Pública;Edital n.º 101/2023 – GS/SEED;2023-11-10;1;41025318.0;APUCARANA ALBERTO SANTOS DUMONT, C E-EF M PROFIS;APUCARANA ALBERTO SANTOS DUMONT, C E-EF M PROFIS;Apucarana;consulta_publica;consultada;2024.0;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.;41025318 APUCARANA APUCARANA ALBERTO SANTOS DUMONT, C E-EF M PROFIS
edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;Edital de Convocação para Consulta Pública;Edital n.º 101/2023 – GS/SEED;2023-11-10;1;41025806.0;APUCARANA JOSE DE ANCHIETA, C E PE-EF M PROFIS;APUCARANA JOSE DE ANCHIETA, C E PE-EF M PROFIS;Apucarana;consulta_publica;consultada;2024.0;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.;41025806 APUCARANA APUCARANA JOSE DE ANCHIETA, C E PE-EF M PROFIS
edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;Edital de Convocação para Consulta Pública;Edital n.º 101/2023 – GS/SEED;2023-11-10;1;41026055.0;APUCARANA OSMAR GUARACY FREIRE, C E-EF M P;APUCARANA OSMAR GUARACY FREIRE, C E-EF M P;Apucarana;consulta_publica;consultada;2024.0;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.;41026055 APUCARANA APUCARANA OSMAR GUARACY FREIRE, C E-EF M P
edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;Edital de Convocação para Consulta Pública;Edital n.º 101/2023 – GS/SEED;2023-11-10;1;41026152.0;APUCARANA POLIVALENTE C DOMINGOS SILVA,C E- EFMP;APUCARANA POLIVALENTE C DOMINGOS SILVA,C E- EFMP;Apucarana;consulta_publica;consultada;2024.0;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.;41026152 APUCARANA APUCARANA POLIVALENTE C DOMINGOS SILVA,C E- EFMP
edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;Edital de Convocação para Consulta Pública;Edital n.º 101/2023 – GS/SEED;2023-11-10;1;41026411.0;ARAPONGAS ANTONIO RACANELLO SAMPAIO, C E- EF M;ARAPONGAS ANTONIO RACANELLO SAMPAIO, C E- EF M;Apucarana;consulta_publica;consultada;2024.0;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.;41026411 APUCARANA ARAPONGAS ANTONIO RACANELLO SAMPAIO, C E- EF M
edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;Edital de Convocação para Consulta Pública;Edital n.º 101/2023 – GS/SEED;2023-11-10;1;41164920.0;ARAPONGAS IRONDI MANTOVANI PUGLIESI, C E-EF M;ARAPONGAS IRONDI MANTOVANI PUGLIESI, C E-EF M;Apucarana;consulta_publica;consultada;2024.0;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.;41164920 APUCARANA ARAPONGAS IRONDI MANTOVANI PUGLIESI, C E-EF M
edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;Edital de Convocação para Consulta Pública;Edital n.º 101/2023 – GS/SEED;2023-11-10;1;41027370.0;CAMBIRA ROSA D CALSAVARA, C E-EF M PROFIS;CAMBIRA ROSA D CALSAVARA, C E-EF M PROFIS;Apucarana;consulta_publica;consultada;2024.0;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.;41027370 APUCARANA CAMBIRA ROSA D CALSAVARA, C E-EF M PROFIS
edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;Edital de Convocação para Consulta Pública;Edital n.º 101/2023 – GS/SEED;2023-11-10;1;41122801.0;ALBERTO KRAUSE, C E PROF-EF M;ALBERTO KRAUSE, C E PROF-EF M;Almirante Tamandaré;consulta_publica;consultada;2024.0;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.;41122801 AREA METROP.NORTE ALM TAMANDARE ALBERTO KRAUSE, C E PROF-EF M
edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;Edital de Convocação para Consulta Pública;Edital n.º 101/2023 – GS/SEED;2023-11-10;1;41122860.0;FLORIPA TEIXEIRA DE FARIA, C E-EF M;FLORIPA TEIXEIRA DE FARIA, C E-EF M;Almirante Tamandaré;consulta_publica;consultada;2024.0;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.;41122860 AREA METROP.NORTE ALM TAMANDARE FLORIPA TEIXEIRA DE FARIA, C E-EF M
edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;Edital de Convocação para Consulta Pública;Edital n.º 101/2023 – GS/SEED;2023-11-10;1;41123301.0;TANCREDO NEVES, C E-EF M PROFIS;TANCREDO NEVES, C E-EF M PROFIS;Almirante Tamandaré;consulta_publica;consultada;2024.0;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.;41123301 AREA METROP.NORTE ALM TAMANDARE TANCREDO NEVES, C E-EF M PROFIS
edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;Edital de Convocação para Consulta Pública;Edital n.º 101/2023 – GS/SEED;2023-11-10;1;41124669.0;IVAN F DO AMARAL FILHO, C E-EF M PROF;IVAN F DO AMARAL FILHO, C E-EF M PROF;Campina Grande do Sul;consulta_publica;consultada;2024.0;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.;41124669 AREA METROP.NORTE CAMPINA GDE SUL IVAN F DO AMARAL FILHO, C E-EF M PROF
edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;Edital de Convocação para Consulta Pública;Edital n.º 101/2023 – GS/SEED;2023-11-10;1;41126050.0;HELENA KOLODY, C E-EF M PROF;HELENA KOLODY, C E-EF M PROF;Colombo;consulta_publica;consultada;2024.0;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.;41126050 AREA METROP.NORTE COLOMBO HELENA KOLODY, C E-EF M PROF
edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;Edital de Convocação para Consulta Pública;Edital n.º 101/2023 – GS/SEED;2023-11-10;1;41126122.0;JOAO R DE CAMARGO, C E-EF M PROFIS;JOAO R DE CAMARGO, C E-EF M PROFIS;Colombo;consulta_publica;consultada;2024.0;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.;41126122 AREA METROP.NORTE COLOMBO JOAO R DE CAMARGO, C E-EF M PROFIS
edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;Edital de Convocação para Consulta Pública;Edital n.º 101/2023 – GS/SEED;2023-11-10;1;41387724.0;DANIEL ROCHA, C E PROF-EF M PROFIS;DANIEL ROCHA, C E PROF-EF M PROFIS;Pinhais;consulta_publica;consultada;2024.0;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.;41387724 AREA METROP.NORTE PINHAIS DANIEL ROCHA, C E PROF-EF M PROFIS
edital1012023_gsseed_protocolo213100866_ccm_consulta_publica.pdf;Edital de Convocação para Consulta Pública;Edital n.º 101/2023 – GS/SEED;2023-11-10;1;41135784.0;LEOCADIA B RAMOS, C E-EF M PROFIS N;LEOCADIA B RAMOS, C E-EF M PROFIS N;Pinhais;consulta_publica;consultada;2024.0;Convocação da comunidade escolar para consulta pública nos dias 28 e 29 de novembro de 2023.;41135784 AREA METROP.NORTE PINHAIS LEOCADIA B RAMOS, C E-EF M PROFIS N
